;xcfd_grid;ycfd_grid;u_f;v_f;U_mag;flow_angle
6671;8.225;1.375;0.61529;-0.00072877;0.6152904315895973;-0.06786300071474052
6672;8.275;1.375;0.61522;-0.00070253;0.6152204011152433;-0.06542697975600084
6673;8.325;1.325;0.60842;-0.0024388;0.6084248878419093;-0.22966404572883928
6674;8.375;1.325;0.60844;-0.0023959;0.6084447172396272;-0.22561673888977787
6675;8.325;1.375;0.61513;-0.00068213;0.6151303782137059;-0.06353641353702615
6676;8.375;1.375;0.61505;-0.0006658;0.6150503603686774;-0.062023437279800225
6677;8.425;1.325;0.60844;-0.0023536;0.6084445521433814;-0.22163347915528478
6678;8.475;1.325;0.60845;-0.0023141;0.608454400558341;-0.21791030337202594
6679;8.425;1.375;0.61495;-0.00065206;0.6149503457046297;-0.06075334903242763
6680;8.475;1.375;0.61484;-0.00063487;0.6148403277761771;-0.05916231639365072
6681;8.525;1.325;0.60845;-0.002273;0.6084542456331454;-0.21404010355746286
6682;8.575;1.325;0.60845;-0.0022199;0.6084540495846914;-0.20903991550878814
6683;8.525;1.375;0.61472;-0.00060754;0.6147203002218584;-0.05662653980949842
6684;8.575;1.375;0.6146;-0.00056548;0.6146002601428269;-0.052716577052551804
6685;8.625;1.325;0.60844;-0.0021518;0.6084438050002974;-0.20263057055766145
6686;8.675;1.325;0.60843;-0.0020725;0.6084335297764663;-0.19516631950862195
6687;8.625;1.375;0.61448;-0.00051031;0.6144802118996967;-0.04758267563058971
6688;8.675;1.375;0.61437;-0.00044543;0.6143701614726133;-0.041540528666341926
6689;8.725;1.325;0.60843;-0.0019893;0.6084332520617936;-0.1873314728778932
6690;8.775;1.325;0.60842;-0.0019083;0.6084229926694832;-0.17970674453439003
6691;8.725;1.375;0.61426;-0.00037598;0.6142601150660528;-0.035069945122730775
6692;8.775;1.375;0.61417;-0.00030546;0.614170075960895;-0.02849629152677097
6693;8.825;1.325;0.60842;-0.0018294;0.608422750317869;-0.1722766890703398
6694;8.875;1.325;0.60842;-0.0017506;0.6084225184855997;-0.16485604487676836
6695;8.825;1.375;0.61408;-0.00023677;0.6140800456455435;-0.022091455580806253
6696;8.875;1.375;0.61399;-0.00017257;0.6139900242515386;-0.01610373525662043
6697;8.925;1.325;0.60844;-0.0016711;0.6084422948605808;-0.157364302793349
6698;8.975;1.325;0.60847;-0.0015932;0.6084720857904986;-0.15002124560237012
6699;8.925;1.375;0.61391;-0.00011297;0.6139100103942114;-0.010543408868616945
6700;8.975;1.375;0.61384;-5.7672e-05;0.6138400027092236;-0.005383100134164933
6701;9.025;1.325;0.60851;-0.0015183;0.6085118941605743;-0.1429590335570846
6702;9.075;1.325;0.60857;-0.0014458;0.6085717174151622;-0.1361192338945478
6703;9.025;1.375;0.61378;-5.872e-06;0.6137800000280885;-0.0005481456177955537
6704;9.075;1.375;0.61372;4.3112e-05;0.6137200015142448;0.0040248576587123205
6705;9.125;1.325;0.60864;-0.0013745;0.6086415520240546;-0.1293916191204535
6706;9.175;1.325;0.60872;-0.0013041;0.6087213969270425;-0.12274824508716227
6707;9.125;1.375;0.61368;9.124e-05;0.6136800067826371;0.008518555084498088
6708;9.175;1.375;0.61364;0.00013876;0.6136400156886264;0.012956069079145241
6709;9.225;1.325;0.6088;-0.0012349;0.6088012524445149;-0.11621954842590018
6710;9.275;1.325;0.60889;-0.001167;0.6088911183364396;-0.1098130907385321
6711;9.225;1.375;0.6136;0.00018429;0.6136000276750354;0.01720834238750264
6712;9.275;1.375;0.61358;0.00022694;0.6135800419682534;0.021191537549764265
6713;9.325;1.325;0.60898;-0.0010995;0.6089809925607285;-0.10344615771219959
6714;9.375;1.325;0.60908;-0.0010341;0.6090808778502326;-0.09727705500868676
6715;9.325;1.375;0.61356;0.00026711;0.6135600581424382;0.024943403577307118
6716;9.375;1.375;0.61355;0.00030464;0.61355007562996;0.02844851248715209
6717;9.425;1.325;0.60918;-0.00097573;0.60918078141799;-0.09177117294812401
6718;9.475;1.325;0.60929;-0.00092822;0.609290707045798;-0.08728691971923878
6719;9.425;1.375;0.61355;0.00033675;0.6135500924134577;0.03144707328434297
6720;9.475;1.375;0.61356;0.00035939;0.613560105255526;0.03356074034200038
6721;9.525;1.325;0.6094;-0.0008914;0.6094006519474361;-0.08380935581189114
6722;9.575;1.325;0.60952;-0.00086173;0.6095206091500047;-0.08100383774798327
6723;9.525;1.375;0.61357;0.00037245;0.6135701130425132;0.03477974877941781
6724;9.575;1.375;0.61358;0.00037985;0.6135801175771771;0.03547018981668429
6725;9.625;1.325;0.60964;-0.00083524;0.6096405721618744;-0.07849828905259228
6726;9.675;1.325;0.60977;-0.00081146;0.6097705399306625;-0.07624711907481223
